Course Code,Course Name,Instructor Name
CH 223,Structure and Stereochemistry ,
CH 224,Co-ordination Chemistry ,
CH 225,Data Analysis for Chemists ,Anil Kumar
CH 226,Inorganic Chemistry Lab-II ,
CH 227,Introduction to Transition Metal Chemistry ,
CH 228,Organic Chemistry Lab II ,
CH 229,Chemical Thermodynamics ,
CH 230,Physical Chemistry Lab I ,
CH 231,Organic Chemistry Lab I ,Chidambar  Kulkarni
CH 301,Co-ordination Chemistry and Magnetic Properties ,M. Ravikanth
CH 305,Chemistry of Functional Groups ,Chidambar  KulkarniVenkateswarlu  Yarlagadda
CH 309,Introduction to Electrochemistry ,Kamendra P. Sharma
CH 311,Solid State ,Ruchi Anand
CH 313,Organic Chemistry Lab III ,Pradeep Kumar P.I.
CH 315,Physical Chemistry Lab II ,A. Datta
CH 316,Inorganic Chemistry Lab II ,
CH 317,Organic Chemistry Lab I ,
CH 318,Organic Chemistry Lab II ,
CH 401,Organic Reactions ,Kaliappan K P
CH 402,Thermal and Photochemical Reactions ,
CH 403,Electrochemistry of Solutions and Interfaces ,Nand KishoreSubramaniam Chandramouli
CH 404,Physical Organic Chemistry ,
CH 405,Advanced Transition Metal Chemistry ,Gopalan RajaramM. S. Balakrishna
CH 406,Thermal and Photochemical Reactions ,
CH 408,Molecular Energetics and Dynamics ,
CH 410,Bio-Inorganic Chemistry ,
CH 414,Pharmacological Chemistry ,
CH 415,Inorganic Chemistry Lab II ,Gopalan Rajaram
CH 416,Physical Organic Chemistry ,
CH 417,Organic Chemistry Lab II ,Anil KumarI.N.N. Namboothiri
CH 418,Organic Chemistry Lab. III ,
CH 419,Separation Techniques Lab ,
CH 423,Organic Chemistry III ,
CH 425,Chemical Bond and Molecular Geometry ,A. DattaAmber  Jain
CH 426,Rate Processes ,
CH 427,Chemical and Statistical Thermodynamics ,
CH 429,Modern Methods of Analysis ,
CH 432,Inorganic Chemistry Lab III ,
CH 433,Physical Chemistry Lab II ,Rajarshi Chakrabarti
CH 434,Physical Chemistry Lab III ,
CH 437,Chemistry of Transition Elements ,
CH 438,Chemistry of Main Group Elements ,
CH 442,Molecular Spectroscopy ,
CH 481,Chemistry and Computers ,Achintya Kumar Dutta
CH 507,Methods in Organic Synthesis ,Chandra M. R. VollaSantosh J. Gharpure
CH 521,Interpretative Molecular Spectroscopy ,Goutam K. LahiriR. MurugavelSuvarn Kulkarni
CH 546,Introduction to Biomolecules ,Pradeep Kumar P.I.
CH 547,Organometallic Chemistry ,Arnab  DuttaD. Maiti
CH 557,Topics in Chemistry ,
CH 576,Statistical Mechanics ,
CH 593,Project Stage I ,Sanjog Sunil Nagarkar
CH 594,Project Stage II ,
CH 595,M.Sc. Project I ,Sanjog Sunil Nagarkar
CH 596,M.Sc. Project II ,
CH 602,Characterization of Polymers ,
CH 792,Communication Skills -II ,
CH 801,Symmetry in Chemistry ,
CH 802,Thermodynamics and Extra Thermodynamics Relations ,
CH 804,Pulse and FTNMR Theory and Techniques ,
CH 805,Stereochemistry and Reactivity of Organic Compounds ,
CH 806,Molecular Photochemistry ,
CH 807,Organic Synthesis ,
CH 820,Structure Analysis by Diffraction Methods ,
CH 821,Topics in Chemistry I ,
CH 824,Organotransition Metal and Acceptor Ligand Complex ,
CH 826,Topics in Chemistry ,
CH 827,Inorganic Complexes ,Maheswaran S.
CH 828,Spectra of Organic Compounds ,
CH 831,Advanced Laboratory Techniques ,Goutam K. LahiriKaliappan K PShobhna Kapoor
CH 840,Enzymes and Coenzymes ,
CH 842,Elements of Advanced Molecular Quantum Mechanics ,
CH 846,Atomic and Molecular Relativistic Quantum Mechanic ,
CH 848,Advanced Molecular Energetics ,
CH 849,Organic Spectroscopy ,
CH 864,Biopolymers ,
CH 867,Supervised Learning I ,
CH 899,Communication Skills ,Amber  JainGhosh PrasenjitR. B. Sunoj
CHS801,Seminar ,Chandra M. R. VollaD. MaitiIshita  Sengupta
CHS802,Seminar ,
CE 102,Engineering Mechanics ,
CE 103,Introduction to Civil Engineering ,Albert  ThomasMahesh Kumar GuptaNagendra Rao Velaga
